"identifier"	"XCOOR"	"YCOOR"
"1"	"Species_1"	-40.0595628	-19.3797814
"2"	"Species_1"	-40.2144809	-18.4084699
"3"	"Species_1"	-40.2144809	-18.4084699
"4"	"Species_1"	-40.3833333	-19.8833333
"5"	"Species_1"	-40.5967213	-19.9281421
"6"	"Species_1"	-41.7849727	-22.3642077
"7"	"Species_1"	-42.3833333	-20.7166667
"8"	"Species_1"	-42.4972678	-22.9275956
"9"	"Species_1"	-42.4972678	-22.9275956
"10"	"Species_1"	-42.5221311	-20.6639344
"11"	"Species_1"	-43.5336066	-22.2811475
"12"	"Species_1"	-43.939071	-19.9013661
"13"	"Species_1"	-46.368306	-20.2360656
"14"	"Species_1"	-46.7008197	-22.6087432
"15"	"Species_1"	-46.7259563	-23.6161202
"16"	"Species_1"	-46.8221311	-22.4322404
"17"	"Species_1"	-47.0653005	-22.9038251
"18"	"Species_1"	-47.0653005	-22.9038251
"19"	"Species_1"	-47.0653005	-22.9038251
"20"	"Species_1"	-47.0653005	-22.9038251
"21"	"Species_1"	-47.146694	-22.2656284
"22"	"Species_1"	-47.9322404	-25.0185792
"23"	"Species_1"	-48.2666667	-23.0833333
"24"	"Species_1"	-48.3128415	-25.2907104
"25"	"Species_1"	-48.5087432	-25.515847
"26"	"Species_1"	-48.5087432	-25.515847
"27"	"Species_1"	-48.5087432	-25.515847
"28"	"Species_1"	-48.7117486	-25.4275956
"29"	"Species_1"	-48.7117486	-25.4275956
"30"	"Species_1"	-49.0516393	-25.2967213
"31"	"Species_1"	-49.1131148	-25.197541
"32"	"Species_1"	-49.2606557	-25.2907104
"33"	"Species_1"	-49.2653005	-24.8193989
"34"	"Species_1"	-49.2653005	-26.1871585
"35"	"Species_1"	-49.3849727	-23.1901639
"36"	"Species_1"	-49.4674863	-24.1032787
"37"	"Species_1"	-49.4674863	-24.1032787
"38"	"Species_1"	-49.5	-22.25
"39"	"Species_1"	-49.6357923	-26.2377049
"40"	"Species_1"	-50.360929	-23.1005464
"41"	"Species_1"	-50.4043716	-22.3265027
"42"	"Species_1"	-50.4117486	-24.504918
"43"	"Species_1"	-50.5213115	-23.1532787
"44"	"Species_1"	-50.6459016	-23.4931694
"45"	"Species_1"	-52.1748634	-22.9038251
"46"	"Species_1"	-52.6057377	-23.654918
"47"	"Species_1"	-52.6057377	-23.654918
"48"	"Species_1"	-52.6945355	-25.1519126
"49"	"Species_1"	-52.7838798	-23.0953552
"50"	"Species_1"	-52.7838798	-23.0953552
"51"	"Species_1"	-52.8715847	-23.8680328
"52"	"Species_1"	-53.0601093	-22.5218579
"53"	"Species_1"	-53.3185792	-23.7576503
"54"	"Species_1"	-53.3185792	-23.7576503
"55"	"Species_1"	-53.4989071	-23.7265027
"56"	"Species_1"	-53.5784153	-23.3956284
"57"	"Species_1"	-53.6284153	-23.779235
"58"	"Species_1"	-56.4808743	-21.1185792
"59"	"Species_1"	-56.7210383	-20.5095628
"60"	"Species_1"	-57.657377	-18.9666667
"61"	"Species_1"	-40.097541	-19.1923497
"62"	"Species_1"	-40.097541	-19.1923497
"63"	"Species_1"	-40.097541	-19.1923497
"64"	"Species_1"	-40.4904372	-20.2005464
"65"	"Species_1"	-40.5967213	-19.9314208
"66"	"Species_1"	-40.6576503	-19.7371585
"67"	"Species_1"	-41.1103825	-21.4704918
"68"	"Species_1"	-41.9333333	-16.7333333
"69"	"Species_1"	-42.4961749	-22.9286885
"70"	"Species_1"	-43.4169399	-19.9620219
"71"	"Species_1"	-43.7150273	-19.1655738
"72"	"Species_1"	-46.0494536	-20.6120219
"73"	"Species_1"	-46.5177596	-22.5937158
"74"	"Species_1"	-47.0653005	-22.8510929
"75"	"Species_1"	-47.0653005	-22.8510929
"76"	"Species_1"	-47.1355191	-23.5275956
"77"	"Species_1"	-47.6095902	-22.6260656
"78"	"Species_1"	-48.3919399	-24.6464208
"79"	"Species_1"	-49.0639344	-22.3095628
"80"	"Species_1"	-49.5	-22.25
"81"	"Species_1"	-49.5	-22.25
"82"	"Species_1"	-51.5666667	-20.7833333
"83"	"Species_1"	-52.726776	-22.1669399
"84"	"Species_1"	-55.2226776	-22.8510929
"85"	"Species_1"	-55.2226776	-23.0898907
"86"	"Species_1"	-56.7248634	-20.5136612
"87"	"Species_2"	-43.3286885	-21.6442623
"88"	"Species_2"	-43.45	-19.8494536
"91"	"Species_4"	-44.35	-9.06666667
"92"	"Species_4"	-45.689071	-10.565847
"93"	"Species_5"	-42.7333333	-19.7
"94"	"Species_5"	-42.7333333	-19.7
"95"	"Species_5"	-42.7333333	-19.7
"96"	"Species_5"	-42.7333333	-19.7
"97"	"Species_5"	-42.7333333	-19.7
"98"	"Species_5"	-42.7333333	-19.7
"99"	"Species_5"	-42.7333333	-19.7
"100"	"Species_5"	-42.7333333	-19.7
"101"	"Species_5"	-42.7333333	-19.7
"102"	"Species_5"	-42.7333333	-19.7
"103"	"Species_5"	-42.7333333	-19.7
"104"	"Species_5"	-42.7333333	-19.7
"105"	"Species_5"	-42.7333333	-19.7
"106"	"Species_5"	-42.7333333	-19.7
"111"	"Species_6"	-42.916	-16.541
"112"	"Species_6"	-42.9666667	-16.6
"113"	"Species_6"	-42.9666667	-16.6
"114"	"Species_6"	-42.9666667	-16.6
"115"	"Species_6"	-43.6774044	-19.1081694
"116"	"Species_6"	-43.7223497	-18.4231421
"117"	"Species_6"	-43.844481	-18.9797814
"118"	"Species_6"	-43.88333333	-19.6333333
"119"	"Species_6"	-43.88333333	-19.6333333
"120"	"Species_6"	-43.8885246	-19.9147541
"121"	"Species_6"	-43.9	-19.9
"122"	"Species_6"	-43.9382246	-19.915847
"123"	"Species_6"	-43.9385246	-19.915847
"124"	"Species_6"	-44.2	-17.75
"125"	"Species_6"	-44.4	-19.283
"126"	"Species_6"	-44.4	-19.283
"127"	"Species_6"	-44.4	-19.283
"128"	"Species_6"	-45.0597222	-11.0463889
"129"	"Species_6"	-46.105082	-13.3105464
"130"	"Species_6"	-46.13333	-18
"131"	"Species_6"	-46.3909836	-13.2713115
"132"	"Species_6"	-47.1	-22.9
"133"	"Species_6"	-47.116	-22.183
"134"	"Species_6"	-47.146694	-22.2656284
"135"	"Species_6"	-47.146694	-22.2656284
"136"	"Species_6"	-47.146694	-22.2656284
"137"	"Species_6"	-47.146694	-22.2656284
"138"	"Species_6"	-47.146694	-20.3516393
"139"	"Species_6"	-47.146694	-22.2656284
"140"	"Species_6"	-47.146694	-22.2656284
"141"	"Species_6"	-47.146694	-22.2656284
"142"	"Species_6"	-47.146694	-22.2656284
"143"	"Species_6"	-47.146694	-22.2656284
"144"	"Species_6"	-47.146694	-22.2656284
"145"	"Species_6"	-47.146694	-22.2656284
"146"	"Species_6"	-47.3972678	-22.1860656
"147"	"Species_6"	-47.4254098	-21.9937158
"148"	"Species_6"	-47.7466393	-14.1174863
"149"	"Species_6"	-47.766	-15.733
"150"	"Species_6"	-47.8224044	-22.2459016
"151"	"Species_6"	-47.8688525	-15.9510929
"152"	"Species_6"	-47.8696721	-15.7644809
"153"	"Species_6"	-47.910929	-15.8601093
"154"	"Species_6"	-47.929235	-15.7800546
"155"	"Species_6"	-47.929235	-15.7800546
"156"	"Species_6"	-47.929235	-15.7800546
"157"	"Species_6"	-47.929235	-15.7800546
"158"	"Species_6"	-47.929235	-15.7800546
"159"	"Species_6"	-47.9431694	-15.729235
"160"	"Species_6"	-47.95	-15.783
"161"	"Species_6"	-47.9538251	-15.8974317
"162"	"Species_6"	-47.9666667	-15.8
"163"	"Species_6"	-47.9934426	-15.6808743
"164"	"Species_6"	-48	-17
"165"	"Species_6"	-48.05	-14.2
"166"	"Species_6"	-48.133	-21.767
"167"	"Species_6"	-48.1704918	-21.7956284
"168"	"Species_6"	-48.2625683	-18.9013661
"169"	"Species_6"	-48.2625683	-18.9013661
"170"	"Species_6"	-48.2625683	-18.9040984
"171"	"Species_6"	-48.416	-22.75
"172"	"Species_6"	-48.967	-15.783
"173"	"Species_6"	-48.967	-15.783
"174"	"Species_6"	-49.2398907	-22.8773224
"175"	"Species_6"	-49.2398907	-22.8773224
"176"	"Species_6"	-49.4800546	-19.520765
"177"	"Species_6"	-49.8307923	-18.1956831
"178"	"Species_6"	-50.184153	-16.0715847
"179"	"Species_6"	-51.217	-23.3
"180"	"Species_6"	-51.4262295	-13.2713115
"181"	"Species_6"	-51.8703552	-17.8786885
"182"	"Species_6"	-54.95	-15.983
"183"	"Species_6"	-55.7393443	-15.4442623
"184"	"Species_6"	-61.05	-18.31666667
"185"	"Species_6"	-61.05	-18.31666667
"186"	"Species_7"	-62.283	5.933
"187"	"Species_7"	-62.782	6.252
"188"	"Species_7"	-62.783	6.25
"189"	"Species_7"	-62.85	6.25
"190"	"Species_7"	-62.916	7.75
"191"	"Species_7"	-62.983	7.683
"192"	"Species_7"	-63.3	6.266
"193"	"Species_7"	-63.3	6.266
"194"	"Species_7"	-63.31	5.45
"195"	"Species_7"	-63.573	6.297
"199"	"Species_7"	-64.916	7
"200"	"Species_7"	-64.9166667	7
"201"	"Species_7"	-65.083	7.25
"231"	"Species_8"	-42.35	-16.783
"232"	"Species_8"	-42.4069672	-16.7701913
"235"	"Species_8"	-42.5821585	-16.7637978
"236"	"Species_8"	-42.5894262	-17.5303825
"239"	"Species_8"	-42.7257377	-16.5339344
"240"	"Species_8"	-42.8378962	-16.544153
"241"	"Species_8"	-42.879235	-16.5586612
"242"	"Species_8"	-42.916	-16.541
"243"	"Species_8"	-42.916	-16.541
"244"	"Species_8"	-42.916	-16.541
"245"	"Species_8"	-42.916	-16.541
"246"	"Species_8"	-43.0139344	-17.523224
"247"	"Species_8"	-43.2780055	-16.4352186
"248"	"Species_8"	-43.3071038	-17.0620219
"251"	"Species_8"	-43.617	-18.283
"252"	"Species_8"	-43.617	-18.283
"253"	"Species_8"	-43.8639344	-16.7240427
"254"	"Species_8"	-43.867	-16.75
"255"	"Species_9"	-42.4	-17.983
"256"	"Species_9"	-42.916	-16.541
"257"	"Species_9"	-43.4713115	-18.0693989
"258"	"Species_9"	-43.566	-18.266
"259"	"Species_9"	-43.566	-18.266
"260"	"Species_9"	-43.683	-19.166
"261"	"Species_9"	-43.683	-19.166
"262"	"Species_9"	-43.88333333	-19.6333333
"263"	"Species_9"	-43.88333333	-19.6333333
"264"	"Species_9"	-43.88333333	-19.6333333
"265"	"Species_9"	-43.9	-19.9
"266"	"Species_9"	-43.9	-19.9
"267"	"Species_9"	-43.9	-19.9
"268"	"Species_9"	-43.9	-19.9
"269"	"Species_9"	-44.25	-19.483
"270"	"Species_9"	-44.2620219	-21.1303279
